Generation 00305 --> STR 02, INT 01, STM 02, AGL 01
Generation 00306 --> STR 01, INT 02, STM 01, AGL 01
Generation 00307 --> STR 02, INT 01, STM 01, AGL 02
Generation 00308 --> STR 01, INT 02, STM 02, AGL 01
Generation 00309 --> STR 02, INT 01, STM 01, AGL 01
Generation 00310 --> STR 03, INT 01, STM 01, AGL 02
Generation 00311 --> STR 01, INT 01, STM 01, AGL 03
Generation 00312 --> STR 02, INT 02, STM 01, AGL 02
Generation 00313 --> STR 03, INT 01, STM 01, AGL 01
Generation 00314 --> STR 01, INT 02, STM 01, AGL 01
Generation 00315 --> STR 02, INT 01, STM 01, AGL 01
Generation 00316 --> STR 03, INT 01, STM 02, AGL 01
Generation 00317 --> STR 04, INT 01, STM 03, AGL 01
Generation 00318 --> STR 02, INT 01, STM 02, AGL 01
Generation 00319 --> STR 01, INT 02, STM 03, AGL 01
Generation 00320 --> STR 01, INT 01, STM 04, AGL 01
Generation 00321 --> STR 01, INT 02, STM 02, AGL 02
Generation 00322 --> STR 01, INT 03, STM 01, AGL 03
Generation 00323 --> STR 01, INT 04, STM 01, AGL 01
Generation 00324 --> STR 01, INT 05, STM 01, AGL 02
Generation 00325 --> STR 02, INT 03, STM 02, AGL 03
Generation 00326 --> STR 01, INT 04, STM 01, AGL 01
Generation 00327 --> STR 01, INT 02, STM 01, AGL 01
Generation 00328 --> STR 02, INT 01, STM 02, AGL 01
Generation 00329 --> STR 01, INT 01, STM 01, AGL 02
Generation 00330 --> STR 02, INT 01, STM 01, AGL 01
Generation 00331 --> STR 03, INT 02, STM 02, AGL 01
Generation 00332 --> STR 01, INT 01, STM 03, AGL 02
Generation 00333 --> STR 02, INT 02, STM 02, AGL 03
Generation 00334 --> STR 01, INT 01, STM 03, AGL 01
Generation 00335 --> STR 02, INT 01, STM 02, AGL 01
Generation 00336 --> STR 01, INT 01, STM 01, AGL 02
Generation 00337 --> STR 01, INT 01, STM 01, AGL 01
Generation 00338 --> STR 02, INT 01, STM 01, AGL 01
Generation 00339 --> STR 01, INT 01, STM 02, AGL 01
Generation 00340 --> STR 01, INT 02, STM 01, AGL 02
Generation 00341 --> STR 02, INT 03, STM 01, AGL 01
Generation 00342 --> STR 01, INT 02, STM 02, AGL 02
Generation 00343 --> STR 01, INT 03, STM 01, AGL 01
Generation 00344 --> STR 02, INT 04, STM 01, AGL 01
Generation 00345 --> STR 01, INT 02, STM 01, AGL 02
Generation 00346 --> STR 01, INT 01, STM 02, AGL 01
Generation 00347 --> STR 01, INT 02, STM 03, AGL 01
Generation 00348 --> STR 02, INT 01, STM 02, AGL 02
Generation 00349 --> STR 01, INT 01, STM 01, AGL 01
Generation 00350 --> STR 01, INT 02, STM 02, AGL 01
Generation 00351 --> STR 01, INT 01, STM 01, AGL 01
Generation 00352 --> STR 01, INT 01, STM 01, AGL 02
Generation 00353 --> STR 02, INT 02, STM 01, AGL 01
Generation 00354 --> STR 01, INT 03, STM 02, AGL 01
Generation 00355 --> STR 02, INT 01, STM 03, AGL 01
Generation 00356 --> STR 01, INT 02, STM 02, AGL 01
Generation 00357 --> STR 02, INT 01, STM 01, AGL 02
Generation 00358 --> STR 03, INT 01, STM 02, AGL 01
Generation 00359 --> STR 02, INT 01, STM 01, AGL 01
Generation 00360 --> STR 01, INT 02, STM 02, AGL 01
Generation 00361 --> STR 01, INT 01, STM 01, AGL 02
Generation 00362 --> STR 01, INT 02, STM 01, AGL 03
Generation 00363 --> STR 01, INT 03, STM 01, AGL 02
Generation 00364 --> STR 01, INT 04, STM 02, AGL 01
Generation 00365 --> STR 01, INT 03, STM 01, AGL 02
Generation 00366 --> STR 02, INT 01, STM 01, AGL 01
Generation 00367 --> STR 01, INT 01, STM 01, AGL 02
Generation 00368 --> STR 02, INT 01, STM 02, AGL 01
Generation 00369 --> STR 01, INT 01, STM 01, AGL 02
Generation 00370 --> STR 01, INT 01, STM 01, AGL 01
Generation 00371 --> STR 01, INT 01, STM 01, AGL 01
Generation 00372 --> STR 02, INT 02, STM 01, AGL 01
Generation 00373 --> STR 01, INT 01, STM 01, AGL 02
Generation 00374 --> STR 01, INT 02, STM 01, AGL 01
Generation 00375 --> STR 01, INT 03, STM 01, AGL 01
Generation 00376 --> STR 01, INT 01, STM 02, AGL 01
Generation 00377 --> STR 01, INT 01, STM 01, AGL 01
Generation 00378 --> STR 01, INT 01, STM 02, AGL 01
Generation 00379 --> STR 01, INT 01, STM 01, AGL 01
Generation 00380 --> STR 01, INT 01, STM 01, AGL 02
Generation 00381 --> STR 01, INT 01, STM 02, AGL 01
Generation 00382 --> STR 01, INT 01, STM 01, AGL 01
Generation 00383 --> STR 02, INT 02, STM 01, AGL 01
Generation 00384 --> STR 01, INT 01, STM 01, AGL 01
Generation 00385 --> STR 01, INT 01, STM 02, AGL 01
Generation 00386 --> STR 02, INT 01, STM 01, AGL 01
Generation 00387 --> STR 01, INT 01, STM 01, AGL 02
Generation 00388 --> STR 02, INT 01, STM 01, AGL 01
